5_5	GUT_GENOME027320_5_5
5_6	GUT_GENOME027320_5_6
5_7	GUT_GENOME027320_5_7
5_8	GUT_GENOME027320_5_8
5_9	GUT_GENOME027320_5_9
5_10	GUT_GENOME027320_5_10
5_11	GUT_GENOME027320_5_11
5_12	GUT_GENOME027320_5_12
5_13	GUT_GENOME027320_5_13
5_14	GUT_GENOME027320_5_14
5_15	GUT_GENOME027320_5_15
5_16	GUT_GENOME027320_5_16
5_17	GUT_GENOME027320_5_17
5_18	GUT_GENOME027320_5_18
5_19	GUT_GENOME027320_5_19
5_20	GUT_GENOME027320_5_20
5_21	GUT_GENOME027320_5_21
5_22	GUT_GENOME027320_5_22
5_23	GUT_GENOME027320_5_23
5_24	GUT_GENOME027320_5_24
5_25	GUT_GENOME027320_5_25
5_26	GUT_GENOME027320_5_26
5_27	GUT_GENOME027320_5_27
5_28	GUT_GENOME027320_5_28
5_29	GUT_GENOME027320_5_29
5_30	GUT_GENOME027320_5_30
5_31	GUT_GENOME027320_5_31
5_32	GUT_GENOME027320_5_32
